Time,Protocol,Length,Source,Destination,bad_packet
382.374294209,0,42,2,1,1
382.40203802,0,42,2,1,1
382.402109457,0,42,2,1,1
382.40619529,0,42,2,1,1
382.434034751,0,42,2,1,1
382.43406688,0,42,2,1,1
382.438102951,0,42,2,1,1
382.466054425,0,42,2,1,1
382.466092584,0,42,2,1,1
382.46610172,0,42,2,1,1
382.498058773,0,42,2,1,1
382.49809713,0,42,2,1,1
382.498107858,0,42,2,1,1
382.498115467,0,42,2,1,1
382.530129155,0,42,2,1,1
382.530167366,0,42,2,1,1
382.562257963,0,42,2,1,1
382.562314724,0,42,2,1,1
382.562322081,0,42,2,1,1
382.594057192,0,42,2,1,1
382.594104341,0,42,2,1,1
382.594176341,0,42,2,1,1
382.626061019,0,42,2,1,1
382.626108009,0,42,2,1,1
382.62612165,0,42,2,1,1
382.65807237,0,42,2,1,1
382.658118238,0,42,2,1,1
382.658130414,0,42,2,1,1
382.690025714,0,42,2,1,1
382.929296463,0,60,2,4,0
382.92932419,0,60,2,0,0
383.206122067,0,42,2,4,1
383.208313184,0,42,3,3,0
383.930316874,0,60,2,4,0
383.930342029,0,60,2,0,0
384.535290951,0,42,3,3,1
384.535300649,0,42,2,4,0
384.931184738,0,60,2,4,0
384.931216756,0,60,2,0,0
385.660705024,0,42,2,1,1
385.670965235,0,42,2,1,1
385.681509873,0,42,2,1,1
385.702084826,0,42,2,1,1
385.723093943,0,42,2,1,1
385.733365019,0,42,2,1,1
385.743823875,0,42,2,1,1
385.754342261,0,42,2,1,1
385.764629132,0,42,2,1,1
385.775168779,0,42,2,1,1
385.78591712,0,42,2,1,1
385.796451135,0,42,2,1,1
385.807018041,0,42,2,1,1
385.817415374,0,42,2,1,1
385.829430977,0,42,2,1,1
385.839730481,0,42,2,1,1
385.850199054,0,42,2,1,1
385.8605062,0,42,2,1,1
385.871106752,0,42,2,1,1
385.8818425,0,42,2,1,1
385.89217514,0,42,2,1,1
385.902416163,0,42,2,1,1
385.912992883,0,42,2,1,1
385.923499077,0,42,2,1,1
385.932051446,0,60,2,4,0
385.932068473,0,60,2,0,0
385.934199059,0,42,2,1,1
385.944795298,0,42,2,1,1
385.955323065,0,42,2,1,1
385.965707291,0,42,2,1,1
385.976237286,0,42,2,1,1
385.986670766,0,42,2,1,1
385.997192962,0,42,2,1,1
386.007558068,0,42,2,1,1
386.017912684,0,42,2,1,1
386.028259994,0,42,2,1,1
386.038637251,0,42,2,1,1
386.049133347,0,42,2,1,1
386.059543506,0,42,2,1,1
386.069918812,0,42,2,1,1
386.080234886,0,42,2,1,1
386.090593432,0,42,2,1,1
386.101022545,0,42,2,1,1
386.111413133,0,42,2,1,1
386.122041607,0,42,2,1,1
386.132645223,0,42,2,1,1
386.143132503,0,42,2,1,1
386.153581205,0,42,2,1,1
386.164173813,0,42,2,1,1
386.17452494,0,42,2,1,1
386.184873447,0,42,2,1,1
386.195138147,0,42,2,1,1
386.205517289,0,42,2,1,1
386.215850909,0,42,2,1,1
386.226336879,0,42,2,1,1
386.236653602,0,42,2,1,1
386.246984697,0,42,2,1,1
386.257392484,0,42,2,1,1
386.267636692,0,42,2,1,1
386.278234566,0,42,2,1,1
386.288523739,0,42,2,1,1
386.298875592,0,42,2,1,1
386.309161635,0,42,2,1,1
386.319490009,0,42,2,1,1
386.330095471,0,42,2,1,1
386.340559721,0,42,2,1,1
386.350959427,0,42,2,1,1
386.36125815,0,42,2,1,1
386.3718152,0,42,2,1,1
386.382219106,0,42,2,1,1
386.392593422,0,42,2,1,1
386.402922911,0,42,2,1,1
386.413363407,0,42,2,1,1
386.423932149,0,42,2,1,1
386.434266348,0,42,2,1,1
386.444611835,0,42,2,1,1
386.454859991,0,42,2,1,1
386.465212629,0,42,2,1,1
386.475703238,0,42,2,1,1
386.486058121,0,42,2,1,1
386.496748879,0,42,2,1,1
386.507175942,0,42,2,1,1
386.517527236,0,42,2,1,1
386.528005104,0,42,2,1,1
386.53823106,0,42,2,1,1
386.548682748,0,42,2,1,1
386.559007215,0,42,2,1,1
386.569907318,0,42,2,1,1
386.580461285,0,42,2,1,1
386.59077312,0,42,2,1,1
386.601298725,0,42,2,1,1
386.611750776,0,42,2,1,1
386.622210418,0,42,2,1,1
386.632532401,0,42,2,1,1
386.64336134,0,42,2,1,1
386.654144243,0,42,2,1,1
386.6646718,0,42,2,1,1
386.675263215,0,42,2,1,1
386.686233906,0,42,2,1,1
386.690040774,0,42,2,1,1
386.690082628,0,42,2,1,1
386.690091584,0,42,2,1,1
386.696972945,0,42,2,1,1
386.707993374,0,42,2,1,1
386.718652445,0,42,2,1,1
386.726088288,0,42,2,1,1
